"Player","FG","TP","Points","TotalRebounds","Assists"
"Jimmy Oliver",0.407,0.34,4.2,1,0.7
"Doug Overton",0.412,0.319,4.5,1.3,2.1
"Sean Green",0.386,0.246,4.2,1,0.5
"Steve Hood",NA,NA,NA,NA,NA
"Lamont Strothers",0.329,0.133,4.6,1.2,1.1
"Alvaro Teheran",NA,NA,NA,NA,NA
"Bobby Phills",0.443,0.39,11,3.1,2.7
"Richard Dumas",0.509,0.231,10.6,3.4,1.1
"Keith Hughes",NA,NA,NA,NA,NA
"Isaac Austin",0.446,0.176,7.6,4.7,1.2
"Greg Sutton",0.396,0.361,4.5,0.9,1.7
"Joey Wright",NA,NA,NA,NA,NA
"Zan Tabak",0.506,0,5,3.6,0.7
"Anthony Jones",NA,NA,NA,NA,NA
"Von McDade",NA,NA,NA,NA,NA
"Marcus Kennedy",NA,NA,NA,NA,NA
"Derrick Coleman",0.447,0.295,16.5,9.3,2.5
"Gary Payton",0.466,0.317,16.3,3.9,6.7
"Mahmoud Abdul-Rauf",0.442,0.354,14.6,1.9,3.5
"Dennis Scott",0.417,0.397,12.9,2.8,2.1
"Kendall Gill",0.434,0.3,13.4,4.1,3
"Felton Spencer",0.484,0,5.2,5.4,0.3
"Lionel Simmons",0.433,0.305,12.8,6.2,3.3
"Bo Kimble",0.386,0.291,5.5,1.5,0.9
"Willie Burton",0.424,0.345,10.3,2.9,1.2
"Rumeal Robinson",0.432,0.344,7.6,1.8,3.5
"Tyrone Hill",0.502,0,9.4,8.6,0.8
"Alec Kessler",0.426,0.417,5.2,3.6,0.4
"Loy Vaught",0.504,0.244,10.1,7.1,0.9
"Travis Mays",0.41,0.362,11.1,2,2.8
"Dave Jamerson",0.392,0.277,3.4,0.9,0.7
"Terry Mills",0.457,0.384,10.6,5.4,1.3
"Jerrod Mustaf",0.449,0,4,2.5,0.6
"Duane Causwell",0.507,0.286,4.9,4.2,0.4
"Dee Brown",0.436,0.357,11.1,2.6,3.7
"Gerald Glass",0.433,0.236,7.7,2.5,1.5
"Jayson Williams",0.44,0.125,7.3,7.5,0.6
"Tate George",0.414,0.071,4.2,1,1.8
"Anthony Bonner",0.468,0.125,6.9,5.4,1.4
"Dwayne Schintzius",0.404,0.125,2.7,2.5,0.4
"Alaa Abdelnaby",0.502,0,5.7,3.3,0.3
"Lance Blanks",0.436,0.253,2,0.8,0.8
"Elden Campbell",0.46,0.054,10.3,5.9,1.1
"Les Jepsen",0.333,0,1,1.3,0
"Toni Kukoc",0.447,0.335,11.6,4.2,3.7
"Carl Herrera",0.476,0.143,5.3,3.6,0.6
"Negele Knight",0.436,0.263,6.2,1.3,2.8
"Brian Oliver",0.388,0.227,3.3,1,1
"Walter Palmer",0.412,0,2.1,1.4,0.2
"Kevin Pritchard",0.399,0.186,3.6,1,1.6
"Greg Foster",0.44,0.225,3.9,2.6,0.5
"Trevor Wilson",0.456,0,5.7,3.4,1
"A.J. English",0.435,0.138,9.9,2.1,2.1
"Jud Buechler",0.433,0.366,3.3,1.8,0.8
"Steve Scheffler",0.558,0.2,1.9,1,0.1
"Bimbo Coles",0.425,0.267,7.8,2.1,3.9
"Steve Bardo",0.329,0.1,2.2,1.8,1.3
"Marcus Liberty",0.417,0.34,7.3,3.5,0.9
"Tony Massenburg",0.47,0.091,6.2,4.3,0.4
"Steve Henson",0.403,0.432,3.1,0.7,2
"Antonio Davis",0.448,0.087,10,7.5,1.1
"Kenny Williams",0.511,0,4.8,2.7,0.6
"Derek Strong",0.43,0.18,6.8,4.9,0.6
"Cedric Ceballos",0.5,0.309,14.3,5.3,1.2
"Phil Henderson",NA,NA,NA,NA,NA
"Milos Babic",0.375,NA,1.8,1,0.5
"Tony Smith",0.431,0.307,5.5,1.6,1.9
"Stefano Rusconi",0.333,NA,1.1,0.9,0.4
"Abdul Shamsid-Deen",NA,NA,NA,NA,NA
"Sean Higgins",0.428,0.321,6.3,1.8,1
"Pervis Ellison",0.51,0.05,9.5,6.7,1.5
"Danny Ferry",0.446,0.393,7,2.8,1.3
"Sean Elliott",0.465,0.375,14.2,4.3,2.6
"Glen Rice",0.456,0.4,18.3,4.4,2.1
"J.R. Reid",0.472,0.135,8.5,5,1
"Stacey King",0.478,0.235,6.4,3.3,0.9
"George McCloud",0.402,0.358,9,3.1,2.3
"Randy White",0.401,0.193,7.4,4.9,0.6
"Tom Hammonds",0.48,0,5.3,3.3,0.6
"Pooh Richardson",0.444,0.329,11.1,2.8,6.5
"Nick Anderson",0.446,0.356,14.4,5.1,2.6
"Mookie Blaylock",0.409,0.336,13.5,4.1,6.7
"Michael Smith",0.474,0.15,5,1.5,1
"Tim Hardaway",0.431,0.355,17.7,3.3,8.2
"Todd Lichti",0.46,0.244,7.9,2.1,1.4
"Dana Barros",0.46,0.411,10.5,1.9,3.3
"Shawn Kemp",0.488,0.277,14.6,8.4,1.6
"B.J. Armstrong",0.477,0.425,9.8,1.8,3.3
"Kenny Payne",0.41,0.293,3.5,1.2,0.4
"Jeff Sanders",0.395,NA,2,1.9,0.5
"Blue Edwards",0.475,0.335,10.8,3.4,2
"Byron Irvin",0.471,0.35,5.2,1.4,0.8
"Roy Marble",0.257,0,1.9,1.1,0.4
"Anthony Cook",0.439,0,3.6,3.7,0.3
"John Morton",0.386,0.224,4.8,1.3,2.7
"Vlade Divac",0.495,0.235,11.8,8.2,3.1
"Kenny Battle",0.504,0.133,4.7,2.4,0.8
"Sherman Douglas",0.484,0.267,11,2.2,5.9
"Dyron Nix",0.359,NA,2,1.3,0.3
"Frank Kornet",0.369,0.263,1.9,1.1,0.3
"Jeff Martin",0.417,0.282,6.7,2,0.8
"Stanley Brundy",0.5,NA,2.3,1.6,0.2
"Jay Edwards",0.429,0,1.8,0.5,1
"Gary Leonard",0.459,0,1.4,1.1,0.1
"Pat Durham",0.469,0.192,5,1.7,0.9
"Clifford Robinson",0.438,0.356,14.2,4.6,2.2
"Michael Ansley",0.513,NA,6.9,4.2,0.4
"Doug West",0.481,0.191,9.6,2.5,1.9
"Ed Horton",0.494,0,4.5,2.4,0.4
"Dino Radja",0.497,0,16.7,8.4,1.6
"Doug Roth",0.43,0,1.9,2.9,0.5
"Michael Cutright",NA,NA,NA,NA,NA
"Chucky Brown",0.491,0.227,5.9,3.1,0.8
"Reggie Cross",NA,NA,NA,NA,NA
"Scott Haffner",0.403,0.13,4.3,1.1,1.8
"Ricky Blanton",0.429,NA,3,1.5,0.5
"Reggie Turner",NA,NA,NA,NA,NA
"Junie Lewis",NA,NA,NA,NA,NA
"Haywoode Workman",0.419,0.323,5.5,2.3,3.9
"Brian Quinnett",0.414,0.326,3.4,1.6,0.6
"Mike Morrison",0.338,0.286,2,0.6,0.3
"Greg Grant",0.383,0.281,2.8,0.9,2.7
"Jeff Hodge",NA,NA,NA,NA,NA
"Toney Mack",NA,NA,NA,NA,NA
