Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
2003,TOR,86,76,5.52,0.27899999999999997,0.349,0.455,0.8029999999999999
2004,ANA,92,70,5.16,0.282,0.341,0.429,0.77
2004,ARI,51,111,3.8,0.253,0.31,0.39299999999999996,0.703
2004,ATL,96,66,4.96,0.27,0.34299999999999997,0.434,0.777
2004,BAL,78,84,5.2,0.281,0.345,0.43200000000000005,0.7759999999999999
2004,BOS,98,64,5.86,0.282,0.36,0.47200000000000003,0.8320000000000001
2004,CHW,83,79,5.34,0.268,0.33299999999999996,0.457,0.79
2004,CHC,89,73,4.87,0.268,0.32799999999999996,0.45799999999999996,0.7859999999999999
2004,CIN,76,86,4.63,0.25,0.331,0.418,0.7490000000000001
2004,CLE,80,82,5.3,0.276,0.35100000000000003,0.444,0.795
2004,COL,68,94,5.14,0.275,0.345,0.455,0.8
2004,DET,72,90,5.1,0.272,0.337,0.449,0.7859999999999999
2004,FLA,83,79,4.43,0.264,0.32899999999999996,0.406,0.736
2004,HOU,92,70,4.96,0.267,0.342,0.436,0.778
2004,KCR,58,104,4.44,0.259,0.322,0.397,0.72
2004,LAD,93,69,4.7,0.262,0.332,0.423,0.755
2004,MIL,67,94,3.94,0.248,0.321,0.387,0.708
2004,MIN,92,70,4.81,0.266,0.332,0.431,0.763
2004,MON,67,95,3.92,0.249,0.313,0.392,0.705
2004,NYY,101,61,5.54,0.268,0.353,0.45799999999999996,0.8109999999999999
2004,NYM,71,91,4.22,0.249,0.317,0.409,0.726
2004,OAK,91,71,4.9,0.27,0.34299999999999997,0.433,0.7759999999999999
2004,PHI,86,76,5.19,0.267,0.345,0.44299999999999995,0.7879999999999999
2004,PIT,72,89,4.22,0.26,0.321,0.401,0.722
2004,SDP,87,75,4.74,0.273,0.342,0.414,0.7559999999999999
2004,SEA,63,99,4.31,0.27,0.331,0.396,0.727
2004,SFG,91,71,5.25,0.27,0.35700000000000004,0.43799999999999994,0.795
2004,STL,105,57,5.28,0.278,0.344,0.46,0.804
2004,TBD,70,91,4.43,0.258,0.32,0.405,0.725
2004,TEX,89,73,5.31,0.266,0.32899999999999996,0.457,0.7859999999999999
2004,TOR,67,94,4.47,0.26,0.32799999999999996,0.40299999999999997,0.732
2005,ARI,77,85,4.3,0.256,0.332,0.42100000000000004,0.754
2005,ATL,90,72,4.75,0.265,0.33299999999999996,0.435,0.768
2005,BAL,74,88,4.5,0.26899999999999996,0.327,0.434,0.7609999999999999
2005,BOS,95,67,5.62,0.281,0.35700000000000004,0.45399999999999996,0.8109999999999999
