Year,Tm,W,L,R/G,BA,OBP,SLG,OPS,ADV
2005,COL,67,95,4.57,0.267,0.333,0.411,0.744,0
2005,DET,71,91,4.46,0.272,0.321,0.428,0.75,0
2005,FLA,83,79,4.43,0.272,0.339,0.409,0.748,0
2005,HOU,89,73,4.25,0.256,0.322,0.408,0.73,1
2005,KCR,56,106,4.33,0.263,0.32,0.396,0.716,0
2005,LAA,95,67,4.7,0.27,0.325,0.409,0.734,1
2005,LAD,71,91,4.23,0.253,0.326,0.395,0.721,0
2005,MIL,81,81,4.48,0.259,0.331,0.423,0.754,0
2005,MIN,83,79,4.25,0.259,0.323,0.391,0.714,0
2005,NYY,95,67,5.47,0.276,0.355,0.45,0.805,0
2005,NYM,83,79,4.46,0.258,0.322,0.416,0.738,1
2005,OAK,88,74,4.77,0.262,0.33,0.407,0.737,0
2005,PHI,88,74,4.98,0.27,0.348,0.423,0.772,0
2005,PIT,67,95,4.2,0.259,0.322,0.4,0.723,0
2005,SDP,82,80,4.22,0.257,0.333,0.391,0.724,1
2005,SEA,69,93,4.31,0.256,0.317,0.391,0.709,0
2005,SFG,75,87,4.01,0.261,0.319,0.396,0.714,0
2005,STL,100,62,4.97,0.27,0.339,0.423,0.762,1
2005,TBD,67,95,4.63,0.274,0.329,0.425,0.754,0
2005,TEX,79,83,5.34,0.267,0.329,0.468,0.798,0
2005,TOR,80,82,4.78,0.265,0.331,0.407,0.738,0
2005,WSN,81,81,3.94,0.252,0.322,0.386,0.708,0
2006,ARI,76,86,4.77,0.267,0.331,0.424,0.755,0
2006,ATL,79,83,5.24,0.27,0.337,0.455,0.791,0
2006,BAL,70,92,4.74,0.277,0.339,0.424,0.763,0
2006,BOS,86,76,5.06,0.269,0.351,0.435,0.786,0
2006,CHW,90,72,5.36,0.28,0.342,0.464,0.806,0
2006,CHC,66,96,4.42,0.268,0.319,0.422,0.741,0
2006,CIN,80,82,4.62,0.257,0.336,0.432,0.768,0
2006,CLE,78,84,5.37,0.28,0.349,0.457,0.806,0
2006,COL,76,86,5.02,0.27,0.341,0.433,0.774,0
2006,DET,95,67,5.07,0.274,0.329,0.449,0.777,1
2006,FLA,78,84,4.68,0.264,0.331,0.435,0.766,0
2006,HOU,82,80,4.54,0.255,0.332,0.409,0.741,0
2006,KCR,62,100,4.67,0.271,0.332,0.411,0.743,0
2006,LAA,89,73,4.73,0.274,0.334,0.425,0.759,0
2006,LAD,88,74,5.06,0.276,0.348,0.432,0.781,1
2006,MIL,75,87,4.51,0.258,0.327,0.42,0.747,0
2006,MIN,96,66,4.94,0.287,0.347,0.425,0.771,1
2006,NYY,97,65,5.74,0.285,0.363,0.461,0.824,1
2006,NYM,97,65,5.15,0.264,0.334,0.445,0.78,1
2006,OAK,93,69,4.76,0.26,0.34,0.412,0.752,1
2006,PHI,85,77,5.34,0.267,0.347,0.447,0.794,0
2006,PIT,67,95,4.27,0.263,0.327,0.397,0.723,0
2006,SDP,88,74,4.51,0.263,0.332,0.416,0.749,1
2006,SEA,78,84,4.67,0.272,0.325,0.424,0.749,0
2006,SFG,76,85,4.63,0.259,0.324,0.422,0.746,0
2006,STL,83,78,4.85,0.269,0.337,0.431,0.769,1
2006,TBD,61,101,4.25,0.255,0.314,0.42,0.733,0
2006,TEX,80,82,5.15,0.278,0.338,0.446,0.784,0
2006,TOR,87,75,4.99,0.284,0.348,0.463,0.811,0
2006,WSN,71,91,4.6,0.262,0.338,0.418,0.756,0
2007,ARI,90,72,4.4,0.25,0.321,0.413,0.734,1
2007,ATL,84,78,5,0.275,0.339,0.435,0.774,0
2007,BAL,69,93,4.67,0.272,0.333,0.412,0.746,0
2007,BOS,96,66,5.35,0.279,0.362,0.444,0.806,1
2007,CHW,72,90,4.28,0.246,0.318,0.404,0.722,1
2007,CHC,85,77,4.64,0.271,0.333,0.422,0.754,0
2007,CIN,72,90,4.83,0.267,0.335,0.436,0.772,0
2007,CLE,96,66,5.01,0.268,0.343,0.428,0.771,1
2007,COL,90,73,5.28,0.28,0.354,0.437,0.791,1
2007,DET,88,74,5.48,0.287,0.345,0.458,0.802,0
2007,FLA,71,91,4.88,0.267,0.336,0.448,0.784,0
2007,HOU,73,89,4.46,0.26,0.33,0.412,0.742,0
2007,KCR,69,93,4.36,0.261,0.322,0.388,0.71,0
2007,LAA,94,68,5.07,0.284,0.345,0.417,0.762,1
2007,LAD,82,80,4.54,0.275,0.337,0.406,0.743,0
2007,MIL,83,79,4.94,0.262,0.329,0.456,0.785,0
2007,MIN,79,83,4.43,0.264,0.33,0.391,0.721,0
2007,NYY,94,68,5.98,0.29,0.366,0.463,0.829,0
2007,NYM,88,74,4.96,0.275,0.342,0.432,0.775,1
2007,OAK,76,86,4.57,0.256,0.338,0.407,0.745,0
2007,PHI,89,73,5.51,0.274,0.354,0.458,0.812,1
2007,PIT,68,94,4.47,0.263,0.325,0.411,0.736,0
2007,SDP,89,74,4.55,0.251,0.322,0.411,0.732,0
2007,SEA,88,74,4.9,0.287,0.337,0.425,0.762,0
2007,SFG,71,91,4.22,0.254,0.322,0.387,0.708,0
2007,STL,78,84,4.48,0.274,0.337,0.405,0.743,0
2007,TBD,66,96,4.83,0.268,0.336,0.433,0.769,0
2007,TEX,75,87,5.04,0.263,0.328,0.426,0.754,0
2007,TOR,83,79,4.65,0.259,0.327,0.419,0.746,0
2007,WSN,73,89,4.15,0.256,0.325,0.39,0.715,0
2008,ARI,82,80,4.44,0.251,0.327,0.415,0.742,0
2008,ATL,72,90,4.65,0.27,0.345,0.408,0.753,0
2008,BAL,68,93,4.86,0.267,0.333,0.429,0.762,0
2008,BOS,95,67,5.22,0.28,0.358,0.447,0.805,1
2008,CHW,89,74,4.98,0.263,0.332,0.448,0.78,1
2008,CHC,97,64,5.31,0.278,0.354,0.443,0.797,1
2008,CIN,74,88,4.35,0.247,0.321,0.408,0.729,0
2008,CLE,81,81,4.97,0.262,0.339,0.424,0.763,0
2008,COL,74,88,4.61,0.263,0.336,0.415,0.751,0
2008,DET,74,88,5.07,0.271,0.34,0.444,0.784,0
2008,FLA,84,77,4.78,0.254,0.326,0.433,0.759,0
2008,HOU,86,75,4.42,0.263,0.323,0.415,0.737,0
2008,KCR,75,87,4.27,0.269,0.32,0.397,0.717,0
2008,LAA,100,62,4.72,0.268,0.33,0.413,0.743,1
2008,LAD,84,78,4.32,0.264,0.333,0.399,0.732,1
2008,MIL,90,72,4.63,0.253,0.325,0.431,0.757,1
2008,MIN,88,75,5.09,0.279,0.34,0.408,0.748,0
2008,NYY,89,73,4.87,0.271,0.342,0.427,0.769,0
2008,NYM,89,73,4.93,0.266,0.34,0.42,0.761,0
2008,OAK,75,86,4.01,0.242,0.318,0.369,0.686,0
2008,PHI,92,70,4.93,0.255,0.332,0.438,0.77,1
2008,PIT,67,95,4.54,0.258,0.32,0.403,0.723,0
2008,SDP,63,99,3.93,0.25,0.317,0.39,0.707,0
2008,SEA,61,101,4.14,0.265,0.318,0.389,0.707,0
2008,SFG,72,90,3.95,0.262,0.321,0.382,0.703,0
2008,STL,86,76,4.81,0.281,0.35,0.433,0.783,0
2008,TBR,97,65,4.78,0.26,0.34,0.422,0.762,1
2008,TEX,79,83,5.56,0.283,0.354,0.462,0.816,0
2008,TOR,86,76,4.41,0.264,0.331,0.399,0.731,0
2008,WSN,59,102,3.98,0.251,0.323,0.373,0.696,0
2009,ARI,70,92,4.44,0.253,0.324,0.418,0.742,0
2009,ATL,86,76,4.54,0.263,0.339,0.405,0.744,0
2009,BAL,64,98,4.57,0.268,0.332,0.415,0.747,0
